id,text,tokens,ner_tags,entities,source_type
train-00012,Researchers installed weather sensors on Nanga Parbat.,"[""Researchers"", ""installed"", ""weather"", ""sensors"", ""on"", ""Nanga"", ""Parbat"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O""]","[{""start"": 41, ""end"": 53, ""label"": ""MOUNTAIN"", ""text"": ""Nanga Parbat""}]",synthetic_positive_single
train-00013,"By late afternoon, shadows had covered the slopes of Kongur Tagh.","[""By"", ""late"", ""afternoon"", "","", ""shadows"", ""had"", ""covered"", ""the"", ""slopes"", ""of"", ""Kongur"", ""Tagh"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O""]","[{""start"": 53, ""end"": 64, ""label"": ""MOUNTAIN"", ""text"": ""Kongur Tagh""}]",synthetic_positive_single
train-00014,The weather service printed the schedule before lunch.,"[""The"", ""weather"", ""service"", ""printed"", ""the"", ""schedule"", ""before"", ""lunch"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]",[],synthetic_negative
train-00015,Photos of Mount Aspiring were displayed in the museum.,"[""Photos"", ""of"", ""Mount"", ""Aspiring"", ""were"", ""displayed"", ""in"", ""the"", ""museum"", "".""]","[""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[{""start"": 10, ""end"": 24, ""label"": ""MOUNTAIN"", ""text"": ""Mount Aspiring""}]",synthetic_positive_single
train-00016,The weather service shared the route after the presentation.,"[""The"", ""weather"", ""service"", ""shared"", ""the"", ""route"", ""after"", ""the"", ""presentation"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]",[],synthetic_negative
train-00017,"After weeks of preparation, the group departed for Cerro Torre.","[""After"", ""weeks"", ""of"", ""preparation"", "","", ""the"", ""group"", ""departed"", ""for"", ""Cerro"", ""Torre"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O""]","[{""start"": 51, ""end"": 62, ""label"": ""MOUNTAIN"", ""text"": ""Cerro Torre""}]",synthetic_positive_single
train-00018,They began their ascent of Mount Elie de Beaumont at dawn.,"[""They"", ""began"", ""their"", ""ascent"", ""of"", ""Mount"", ""Elie"", ""de"", ""Beaumont"", ""at"", ""dawn"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""I-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""O"", ""O""]","[{""start"": 27, ""end"": 49, ""label"": ""MOUNTAIN"", ""text"": ""Mount Elie de Beaumont""}]",synthetic_positive_single
train-00019,The climbers postponed their attempt on Puncak Jaya.,"[""The"", ""climbers"", ""postponed"", ""their"", ""attempt"", ""on"", ""Puncak"", ""Jaya"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O""]","[{""start"": 40, ""end"": 51, ""label"": ""MOUNTAIN"", ""text"": ""Puncak Jaya""}]",synthetic_positive_single
train-00020,The tourist group translated the hotel booking before the deadline.,"[""The"", ""tourist"", ""group"", ""translated"", ""the"", ""hotel"", ""booking"", ""before"", ""the"", ""deadline"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]",[],synthetic_negative
train-00021,The museum curator printed the research report at the office.,"[""The"", ""museum"", ""curator"", ""printed"", ""the"", ""research"", ""report"", ""at"", ""the"", ""office"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]",[],synthetic_negative
train-00022,The film crew checked the schedule during the meeting.,"[""The"", ""film"", ""crew"", ""checked"", ""the"", ""schedule"", ""during"", ""the"", ""meeting"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]",[],synthetic_negative
train-00023,The university department updated the cliff photograph before the deadline.,"[""The"", ""university"", ""department"", ""updated"", ""the"", ""cliff"", ""photograph"", ""before"", ""the"", ""deadline"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]",[],synthetic_negative
train-00024,The museum curator reviewed the ridge map in the laboratory.,"[""The"", ""museum"", ""curator"", ""reviewed"", ""the"", ""ridge"", ""map"", ""in"", ""the"", ""laboratory"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]",[],synthetic_negative
train-00025,The travel company translated the summit plan at the airport.,"[""The"", ""travel"", ""company"", ""translated"", ""the"", ""summit"", ""plan"", ""at"", ""the"", ""airport"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]",[],synthetic_negative
train-00026,Mount Meru and Mount Etna were both visible from the aircraft.,"[""Mount"", ""Meru"", ""and"", ""Mount"", ""Etna"", ""were"", ""both"", ""visible"", ""from"", ""the"", ""aircraft"", "".""]","[""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[{""start"": 0, ""end"": 10, ""label"": ""MOUNTAIN"", ""text"": ""Mount Meru""}, {""start"": 15, ""end"": 25, ""label"": ""MOUNTAIN"", ""text"": ""Mount Etna""}]",synthetic_positive_multi
train-00027,Our route passes near Mount Mitchell before turning toward Mount Foraker.,"[""Our"", ""route"", ""passes"", ""near"", ""Mount"", ""Mitchell"", ""before"", ""turning"", ""toward"", ""Mount"", ""Foraker"", "".""]","[""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O""]","[{""start"": 22, ""end"": 36, ""label"": ""MOUNTAIN"", ""text"": ""Mount Mitchell""}, {""start"": 59, ""end"": 72, ""label"": ""MOUNTAIN"", ""text"": ""Mount Foraker""}]",synthetic_positive_multi
train-00028,The museum curator translated the budget during the meeting.,"[""The"", ""museum"", ""curator"", ""translated"", ""the"", ""budget"", ""during"", ""the"", ""meeting"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]",[],synthetic_negative
train-00029,Photos of Jebel Toubkal were displayed in the museum.,"[""Photos"", ""of"", ""Jebel"", ""Toubkal"", ""were"", ""displayed"", ""in"", ""the"", ""museum"", "".""]","[""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[{""start"": 10, ""end"": 23, ""label"": ""MOUNTAIN"", ""text"": ""Jebel Toubkal""}]",synthetic_positive_single
train-00030,Snow remained on the upper slopes of Mount Kinabalu.,"[""Snow"", ""remained"", ""on"", ""the"", ""upper"", ""slopes"", ""of"", ""Mount"", ""Kinabalu"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O""]","[{""start"": 37, ""end"": 51, ""label"": ""MOUNTAIN"", ""text"": ""Mount Kinabalu""}]",synthetic_positive_single
train-00031,Images of Mount Saint Elias were placed beside photographs of Mount Kenya.,"[""Images"", ""of"", ""Mount"", ""Saint"", ""Elias"", ""were"", ""placed"", ""beside"", ""photographs"", ""of"", ""Mount"", ""Kenya"", "".""]","[""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O""]","[{""start"": 10, ""end"": 27, ""label"": ""MOUNTAIN"", ""text"": ""Mount Saint Elias""}, {""start"": 62, ""end"": 73, ""label"": ""MOUNTAIN"", ""text"": ""Mount Kenya""}]",synthetic_positive_multi
train-00032,The local council compared the ridge map after the presentation.,"[""The"", ""local"", ""council"", ""compared"", ""the"", ""ridge"", ""map"", ""after"", ""the"", ""presentation"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]",[],synthetic_negative
train-00033,The map labels both Mount Murchison and Ben Nevis.,"[""The"", ""map"", ""labels"", ""both"", ""Mount"", ""Murchison"", ""and"", ""Ben"", ""Nevis"", "".""]","[""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O""]","[{""start"": 20, ""end"": 35, ""label"": ""MOUNTAIN"", ""text"": ""Mount Murchison""}, {""start"": 40, ""end"": 49, ""label"": ""MOUNTAIN"", ""text"": ""Ben Nevis""}]",synthetic_positive_multi
train-00034,A helicopter circled above Machapuchare during the rescue.,"[""A"", ""helicopter"", ""circled"", ""above"", ""Machapuchare"", ""during"", ""the"", ""rescue"", "".""]","[""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""O"", ""O"", ""O"", ""O""]","[{""start"": 27, ""end"": 39, ""label"": ""MOUNTAIN"", ""text"": ""Machapuchare""}]",synthetic_positive_single
train-00035,"For safety reasons, access to Mount Hunter was temporarily restricted.","[""For"", ""safety"", ""reasons"", "","", ""access"", ""to"", ""Mount"", ""Hunter"", ""was"", ""temporarily"", ""restricted"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""O"", ""O"", ""O""]","[{""start"": 30, ""end"": 42, ""label"": ""MOUNTAIN"", ""text"": ""Mount Hunter""}]",synthetic_positive_single
train-00036,The team measured snow depth on Mount Sanford.,"[""The"", ""team"", ""measured"", ""snow"", ""depth"", ""on"", ""Mount"", ""Sanford"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O""]","[{""start"": 32, ""end"": 45, ""label"": ""MOUNTAIN"", ""text"": ""Mount Sanford""}]",synthetic_positive_single
train-00037,The tourist group printed the summit plan at the airport.,"[""The"", ""tourist"", ""group"", ""printed"", ""the"", ""summit"", ""plan"", ""at"", ""the"", ""airport"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]",[],synthetic_negative
train-00038,The museum curator translated the satellite image in the final report.,"[""The"", ""museum"", ""curator"", ""translated"", ""the"", ""satellite"", ""image"", ""in"", ""the"", ""final"", ""report"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]",[],synthetic_negative
train-00039,Several routes lead toward the summit of Huayna Potosi.,"[""Several"", ""routes"", ""lead"", ""toward"", ""the"", ""summit"", ""of"", ""Huayna"", ""Potosi"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O""]","[{""start"": 41, ""end"": 54, ""label"": ""MOUNTAIN"", ""text"": ""Huayna Potosi""}]",synthetic_positive_single
train-00040,"Unlike Mount Saint Elias, Mount Rinjani was hidden by clouds.","[""Unlike"", ""Mount"", ""Saint"", ""Elias"", "","", ""Mount"", ""Rinjani"", ""was"", ""hidden"", ""by"", ""clouds"", "".""]","[""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""O"", ""O"", ""O"", ""O""]","[{""start"": 7, ""end"": 24, ""label"": ""MOUNTAIN"", ""text"": ""Mount Saint Elias""}, {""start"": 26, ""end"": 39, ""label"": ""MOUNTAIN"", ""text"": ""Mount Rinjani""}]",synthetic_positive_multi
train-00041,The team measured snow depth on Huayna Potosi.,"[""The"", ""team"", ""measured"", ""snow"", ""depth"", ""on"", ""Huayna"", ""Potosi"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O""]","[{""start"": 32, ""end"": 45, ""label"": ""MOUNTAIN"", ""text"": ""Huayna Potosi""}]",synthetic_positive_single
train-00042,The rescue unit archived the expedition permit on Monday.,"[""The"", ""rescue"", ""unit"", ""archived"", ""the"", ""expedition"", ""permit"", ""on"", ""Monday"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]",[],synthetic_negative
train-00043,The route to Alpamayo was closed after the storm.,"[""The"", ""route"", ""to"", ""Alpamayo"", ""was"", ""closed"", ""after"", ""the"", ""storm"", "".""]","[""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[{""start"": 13, ""end"": 21, ""label"": ""MOUNTAIN"", ""text"": ""Alpamayo""}]",synthetic_positive_single
train-00044,He plans to study glaciers on Mount Erebus and Mount Vancouver.,"[""He"", ""plans"", ""to"", ""study"", ""glaciers"", ""on"", ""Mount"", ""Erebus"", ""and"", ""Mount"", ""Vancouver"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O""]","[{""start"": 30, ""end"": 42, ""label"": ""MOUNTAIN"", ""text"": ""Mount Erebus""}, {""start"": 47, ""end"": 62, ""label"": ""MOUNTAIN"", ""text"": ""Mount Vancouver""}]",synthetic_positive_multi
train-00045,Weather stations near Mount Tasman and Mount Logan recorded strong winds.,"[""Weather"", ""stations"", ""near"", ""Mount"", ""Tasman"", ""and"", ""Mount"", ""Logan"", ""recorded"", ""strong"", ""winds"", "".""]","[""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""O"", ""O"", ""O""]","[{""start"": 22, ""end"": 34, ""label"": ""MOUNTAIN"", ""text"": ""Mount Tasman""}, {""start"": 39, ""end"": 50, ""label"": ""MOUNTAIN"", ""text"": ""Mount Logan""}]",synthetic_positive_multi
train-00046,"In the final chapter, the author describes an ascent of Mount Ngauruhoe.","[""In"", ""the"", ""final"", ""chapter"", "","", ""the"", ""author"", ""describes"", ""an"", ""ascent"", ""of"", ""Mount"", ""Ngauruhoe"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O""]","[{""start"": 56, ""end"": 71, ""label"": ""MOUNTAIN"", ""text"": ""Mount Ngauruhoe""}]",synthetic_positive_single
train-00047,"By late afternoon, shadows had covered the slopes of Mount Wilhelm.","[""By"", ""late"", ""afternoon"", "","", ""shadows"", ""had"", ""covered"", ""the"", ""slopes"", ""of"", ""Mount"", ""Wilhelm"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O""]","[{""start"": 53, ""end"": 66, ""label"": ""MOUNTAIN"", ""text"": ""Mount Wilhelm""}]",synthetic_positive_single
train-00048,Our map marks Puncak Jaya with a red triangle.,"[""Our"", ""map"", ""marks"", ""Puncak"", ""Jaya"", ""with"", ""a"", ""red"", ""triangle"", "".""]","[""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""O"", ""O"", ""O"", ""O""]","[{""start"": 14, ""end"": 25, ""label"": ""MOUNTAIN"", ""text"": ""Puncak Jaya""}]",synthetic_positive_single
train-00049,We could clearly see Chimborazo from the valley.,"[""We"", ""could"", ""clearly"", ""see"", ""Chimborazo"", ""from"", ""the"", ""valley"", "".""]","[""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""O"", ""O"", ""O"", ""O""]","[{""start"": 21, ""end"": 31, ""label"": ""MOUNTAIN"", ""text"": ""Chimborazo""}]",synthetic_positive_single
train-00050,They began their ascent of Denali at dawn.,"[""They"", ""began"", ""their"", ""ascent"", ""of"", ""Denali"", ""at"", ""dawn"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""O"", ""O"", ""O""]","[{""start"": 27, ""end"": 33, ""label"": ""MOUNTAIN"", ""text"": ""Denali""}]",synthetic_positive_single
train-00051,The rescue team returned safely from Mont Blanc.,"[""The"", ""rescue"", ""team"", ""returned"", ""safely"", ""from"", ""Mont"", ""Blanc"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O""]","[{""start"": 37, ""end"": 47, ""label"": ""MOUNTAIN"", ""text"": ""Mont Blanc""}]",synthetic_positive_single
train-00052,The research team printed the weather forecast in the final report.,"[""The"", ""research"", ""team"", ""printed"", ""the"", ""weather"", ""forecast"", ""in"", ""the"", ""final"", ""report"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]",[],synthetic_negative
train-00053,The local council reviewed the dataset in the final report.,"[""The"", ""local"", ""council"", ""reviewed"", ""the"", ""dataset"", ""in"", ""the"", ""final"", ""report"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]",[],synthetic_negative
train-00054,Heavy clouds covered Mount Dampier throughout the morning.,"[""Heavy"", ""clouds"", ""covered"", ""Mount"", ""Dampier"", ""throughout"", ""the"", ""morning"", "".""]","[""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""O"", ""O"", ""O""]","[{""start"": 21, ""end"": 34, ""label"": ""MOUNTAIN"", ""text"": ""Mount Dampier""}]",synthetic_positive_single
train-00055,The rescue unit translated the training notebook during the meeting.,"[""The"", ""rescue"", ""unit"", ""translated"", ""the"", ""training"", ""notebook"", ""during"", ""the"", ""meeting"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]",[],synthetic_negative
train-00056,Snow remained on the upper slopes of Aconcagua.,"[""Snow"", ""remained"", ""on"", ""the"", ""upper"", ""slopes"", ""of"", ""Aconcagua"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""O""]","[{""start"": 37, ""end"": 46, ""label"": ""MOUNTAIN"", ""text"": ""Aconcagua""}]",synthetic_positive_single
train-00057,The expedition leader checked the sales peak in the laboratory.,"[""The"", ""expedition"", ""leader"", ""checked"", ""the"", ""sales"", ""peak"", ""in"", ""the"", ""laboratory"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]",[],synthetic_negative
train-00058,She hopes to climb Shishapangma next year.,"[""She"", ""hopes"", ""to"", ""climb"", ""Shishapangma"", ""next"", ""year"", "".""]","[""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""O"", ""O"", ""O""]","[{""start"": 19, ""end"": 31, ""label"": ""MOUNTAIN"", ""text"": ""Shishapangma""}]",synthetic_positive_single
train-00059,Tourists gathered at a viewpoint facing Mount Haku.,"[""Tourists"", ""gathered"", ""at"", ""a"", ""viewpoint"", ""facing"", ""Mount"", ""Haku"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O""]","[{""start"": 40, ""end"": 50, ""label"": ""MOUNTAIN"", ""text"": ""Mount Haku""}]",synthetic_positive_single
train-00060,Mount Mitchell attracts climbers from around the world.,"[""Mount"", ""Mitchell"", ""attracts"", ""climbers"", ""from"", ""around"", ""the"", ""world"", "".""]","[""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[{""start"": 0, ""end"": 14, ""label"": ""MOUNTAIN"", ""text"": ""Mount Mitchell""}]",synthetic_positive_single
train-00061,The tourist group updated the expedition permit during the meeting.,"[""The"", ""tourist"", ""group"", ""updated"", ""the"", ""expedition"", ""permit"", ""during"", ""the"", ""meeting"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]",[],synthetic_negative
train-00062,The glacier on Mount Lucania has retreated in recent decades.,"[""The"", ""glacier"", ""on"", ""Mount"", ""Lucania"", ""has"", ""retreated"", ""in"", ""recent"", ""decades"", "".""]","[""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O""]","[{""start"": 15, ""end"": 28, ""label"": ""MOUNTAIN"", ""text"": ""Mount Lucania""}]",synthetic_positive_single
train-00063,Several routes lead toward the summit of Mount Kosciuszko.,"[""Several"", ""routes"", ""lead"", ""toward"", ""the"", ""summit"", ""of"", ""Mount"", ""Kosciuszko"", "".""]","[""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O""]","[{""start"": 41, ""end"": 57, ""label"": ""MOUNTAIN"", ""text"": ""Mount Kosciuszko""}]",synthetic_positive_single
train-00064,Have you ever seen Mount Aspiring in winter?,"[""Have"", ""you"", ""ever"", ""seen"", ""Mount"", ""Aspiring"", ""in"", ""winter"", ""?""]","[""O"", ""O"", ""O"", ""O"", ""B-MOUNTAIN"", ""I-MOUNTAIN"", ""O"", ""O"", ""O""]","[{""start"": 19, ""end"": 33, ""label"": ""MOUNTAIN"", ""text"": ""Mount Aspiring""}]",synthetic_positive_single
